function	description	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]	1454.69	19809.8	3358.07	18195.2	6145.369999999999	6397.2	8399.199999999999	3119.38	8254.66	164.0	11644.77	369.0700000000001	16335.7	6360.700000000001	5282.2
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	31042.92	26283.35	10232.7	1898.5	8253.8	1495.32	5034.2	1138.28	5480.92	11265.1	7956.1	2783.5	4964.2	9913.33	8445.0
K01678	E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]	31042.92	26272.35	10232.7	1898.5	8253.8	1495.32	5034.2	1138.28	5236.92	11265.1	8061.1	2783.5	4964.2	9913.33	8445.0
K01679	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	1986.87	1841.6	1822.2	6874.6	5537.639999999999	5574.0	4206.0	1312.7700000000002	4961.530000000001	544.6700000000001	5167.5	404.1	5082.4	1359.6	5694.77
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	30782.1	40289.4	25109.77	24349.7	18403.84	19878.94	27128.4	16297.91	13058.33	31458.75	27447.77	25435.82	36525.9	19602.36	25016.4
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	261.07	1422.6	1655.2	2592.6	5412.969999999999	3844.0	4202.0	1028.6	1687.0300000000002	473.0	4627.5	105.1	234.4	1111.6	4901.099999999999
K01683	araD; D-arabinonate dehydratase [EC:4.2.1.5]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	388.0	0.0	0.0	0.0	0.0	0.0
K01684	dgoD; galactonate dehydratase [EC:4.2.1.6]	232.2	1076.2	1623.2	1454.6	710.5699999999999	3157.2	4221.2	1016.2	1033.9	429.0	4809.8	16.8	322.8	1037.6	1464.1
K01685	uxaA; altronate hydrolase [EC:4.2.1.7]	590.5699999999999	21676.85	1684.2	12978.6	5445.3	3583.82	6893.2	2147.13	5674.52	1680.1	7521.400000000001	291.6	6335.099999999999	5129.43	4136.9
K01686	uxuA; mannonate dehydratase [EC:4.2.1.8]	1230.4	22001.1	2076.2	16197.1	5837.3	4455.299999999999	20832.9	4325.33	8729.6	1760.35	8841.400000000001	1175.85	22028.3	7443.6	4221.9
K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	30799.21	48763.62	23764.9	28304.77	17853.44	18340.05	25342.4	15676.829999999998	13188.01	33709.770000000004	24228.57	25760.43	37357.97	18945.1	25849.44
K01689	ENO, eno; enolase [EC:4.2.1.11]	32386.31	39019.62	23958.42	27659.77	18090.31	20098.8	25125.9	16715.41	12438.01	32052.77	24866.74	26449.93	47516.47	19072.1	24856.44
K01690	edd; phosphogluconate dehydratase [EC:4.2.1.12]	255.47000000000003	1192.6	1655.2	2600.6	5395.469999999999	3172.0	4199.0	1022.6	1687.0300000000002	64.6	4627.5	101.1	234.4	1055.6	4375.099999999999
K01692	paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]	278.8	2293.6000000000004	1655.2	2602.6	5396.81	3190.0	4199.0	1099.6	1692.7	123.4	4656.400000000001	87.6	240.4	1055.6	6105.299999999999
K01693	hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	29843.99	19308.35	21850.370000000003	8391.5	12263.47	13515.32	16310.2	13183.78	6795.25	30957.5	16628.170000000002	25102.67	19334.2	13438.33	19720.2
K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]	30338.31	36081.52	23217.2	22761.27	17376.97	18303.55	23424.4	15466.329999999998	12004.51	31840.17	22355.97	25644.43	35054.97	18876.1	24780.44
K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]	30480.980000000003	36371.19	23399.2	23318.94	17468.97	17519.23	22462.2	15673.38	14214.17	32129.84	23629.64	25834.76	34828.44	18883.77	25593.78
K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]	13526.87	5040.400000000001	16309.0	7515.0	12259.07	12306.8	46.8	12373.4	942.63	24871.6	10716.8	23446.8	13187.6	8393.0	18112.3
K01698	hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]	16100.06	13544.95	7010.42	4283.099999999999	9877.98	4647.67	7111.0	1790.1	7883.280000000001	6086.77	10563.27	1665.77	2635.4	6177.93	9726.77
K01699	pduC; propanediol dehydratase large subunit [EC:4.2.1.28]	15304.0	11824.0	4888.0	728.0	3814.0	275.75	44.0	527.25	920.0	5244.0	3131.0	1302.0	2949.0	4884.0	4017.0
K01703	leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	30690.81	38654.62	23657.9	25133.77	17891.27	17462.649999999998	24857.2	15387.63	11911.01	32030.77	22481.07	25667.93	35496.770000000004	18768.1	24789.44
K01704	leuD, IPMI-S; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	30674.81	38654.62	23657.9	25122.77	17870.27	17462.649999999998	21042.2	15387.63	11802.01	32069.77	22478.07	25667.93	35496.770000000004	18768.1	24789.44
K01706	gudD; glucarate dehydratase [EC:4.2.1.40]	253.4	1509.6	1655.2	2857.6	5396.139999999999	3172.0	4203.0	1040.6	1667.7	119.6	5602.1	73.6	1118.4	1055.6	4943.9
K01707	kdgD; 5-dehydro-4-deoxyglucarate dehydratase [EC:4.2.1.41]	0.0	0.0	0.0	0.0	0.67	0.0	0.0	18.0	4.0	12.0	27.5	0.0	0.0	0.0	613.0
K01708	garD; galactarate dehydratase [EC:4.2.1.42]	253.4	1826.6	1655.2	3106.6	5395.469999999999	3172.0	4207.0	1040.6	1667.7	87.6	5219.1	73.6	1718.4	1055.6	4330.9
K01709	rfbG; CDP-glucose 4,6-dehydratase [EC:4.2.1.45]	76.4	2719.0	21.0	2951.0	12.67	13.0	2415.0	3.0	2673.0	418.0	760.0	147.0	112.0	10.0	1020.0
K01710	E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	32195.47	27794.95	19001.42	27061.6	13999.149999999998	19280.16	24344.7	17075.54	13793.35	26780.62	19380.67	24941.19	31973.6	21078.59	20454.57
K01711	gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]	701.37	20887.2	1603.87	16496.6	777.0699999999999	3165.2	4200.2	3110.03	9209.63	439.75	7618.27	372.22	19629.8	7266.6	1067.1
K01712	hutU, UROC1; urocanate hydratase [EC:4.2.1.49]	15862.12	29984.9	5151.0	15073.5	8641.57	331.05	109.3	2826.73	2387.13	5630.75	4788.7	2328.05	17590.6	9056.5	7692.5
K01713	pheC; cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]	25.2	141.4	72.0	1599.0	4686.57	21.8	8.8	27.4	648.8	63.6	402.8	71.8	19.6	18.0	3479.8
K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	48564.62	57454.47	30350.85	28482.27	32446.85	20330.81	38081.7	18668.65	17675.37	39319.92	29126.770000000004	28073.78	43560.37	26453.59	37049.44
K01715	crt; enoyl-CoA hydratase [EC:4.2.1.17]	457.01	2214.2	826.6	581.0	933.68	63.59	797.0	114.41	2747.67	486.7	1221.2	108.5	5032.0	17.66	416.0
K01716	fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	261.47	1422.6	1655.2	2600.6	5412.969999999999	3844.0	4202.0	1046.6	1683.0300000000002	438.6	4598.6	102.1	234.4	1109.6	4847.9
K01719	hemD, UROS; uroporphyrinogen-III synthase [EC:4.2.1.75]	708.22	18945.6	1683.2	16764.6	5476.969999999999	3875.0	4212.0	2261.1800000000003	5011.43	495.67	5814.3	512.6	16129.9	5225.1	5079.77
K01720	prpD; 2-methylcitrate dehydratase [EC:4.2.1.79]	229.87	1051.2	1583.2	1454.6	710.0699999999999	3150.2	4190.2	1014.7	1016.73	25.0	4195.8	31.3	216.8	1037.6	1417.6
K01721	nthA; nitrile hydratase subunit alpha [EC:4.2.1.84]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
K01724	PCBD, phhB; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	6.07	0.0	0.0	2.0	0.67	0.0	0.0	18.0	18.33	44.0	0.0	9.0	0.0	0.0	624.0000000000001
K01725	cynS; cyanate lyase [EC:4.2.1.104]	228.6	1051.2	1583.2	1454.6	710.0699999999999	3150.2	4190.2	1031.2	998.4	35.0	4195.8	18.8	216.8	1037.6	1406.6
K01727	hysA, hylA, hylB; hyaluronate lyase [EC:4.2.2.1]	33.5	0.0	133.85	0.0	19.54	0.0	4860.5	1048.0	126.5	122.0	0.0	659.0	161.5	27.0	44.0
K01728	pel; pectate lyase [EC:4.2.2.2]	1.42	134.25	0.0	0.0	0.0	0.42	0.0	3.08	1.42	5.0	0.0	0.0	0.0	1.33	0.0
K01729	algL; poly(beta-D-mannuronate) lyase [EC:4.2.2.3]	1.67	0.0	0.0	0.0	0.67	0.0	0.0	0.0	16.33	7.0	0.0	6.0	0.0	0.0	624.0000000000001
K01730	ogl; oligogalacturonide lyase [EC:4.2.2.6]	278.0	0.0	0.0	9862.0	0.0	0.0	0.0	0.0	33.0	0.0	848.0	98.0	0.0	0.0	115.0
K01732	E4.2.2.10; pectin lyase [EC:4.2.2.10]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
K01733	thrC; threonine synthase [EC:4.2.3.1]	31900.640000000003	38996.62	23766.23	24059.77	17735.77	17543.649999999998	21385.7	16529.63	9708.18	31746.77	20912.4	26376.26	36380.27	18801.1	25284.44
K01734	mgsA; methylglyoxal synthase [EC:4.2.3.3]	2596.57	23118.45	2346.25	19839.1	6414.31	5217.719999999999	22819.4	2312.83	9056.62	1768.1999999999998	8500.7	671.0999999999999	17578.3	5320.43	5316.9
K01735	aroB; 3-dehydroquinate synthase [EC:4.2.3.4]	18379.58	33789.619999999995	7563.42	18085.77	10290.31	5191.65	22148.7	4133.96	13869.34	6943.77	14096.74	2981.1000000000004	22584.27	10424.1	10279.44
K01736	aroC; chorismate synthase [EC:4.2.3.5]	31942.31	38688.62	23795.75	24661.77	17862.31	17478.399999999998	20862.7	16554.21	11921.01	31745.77	22485.07	26365.93	35666.270000000004	18805.1	24843.44
K01737	queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	16467.81	33069.520000000004	6679.7	25098.77	9423.97	4694.25	7865.0	2748.59	8254.01	6521.5	11701.97	2080.43	21379.57	10220.1	9627.77
K01738	cysK; cysteine synthase A [EC:2.5.1.47]	18885.75	36928.87	8183.799999999999	18496.27	15505.22	7328.62	22321.5	5375.94	12849.06	7329.72	14601.87	3174.98	26840.370000000003	13148.93	13891.94
K01739	metB; cystathionine gamma-synthase [EC:2.5.1.48]	14454.89	6542.52	18297.53	9508.27	13364.3	16683.75	18709.0	13731.18	2179.78	25799.27	15207.6	23918.76	13488.07	9738.6	20116.24
K01740	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	44316.05	62991.77	38207.37	40991.67	20122.8	26863.97	22715.4	27803.560000000005	19494.96	56647.09	33302.94	49446.25	65602.07	30203.33	35113.21
K01744	aspA; aspartate ammonia-lyase [EC:4.3.1.1]	29252.390000000003	18711.6	22797.2	18566.1	16895.97	16445.34	4444.0	15113.34	3107.94	30966.75	18960.3	24999.35	19984.9	16600.760000000002	23502.1
K01745	hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]	15874.04	31085.9	5159.0	16432.5	8663.31	349.05	109.3	3826.48	2891.46	5658.9	4790.1	2346.3	17596.6	11208.0	11316.899999999998
K01746	E4.3.1.4; formiminotetrahydrofolate cyclodeaminase [EC:4.3.1.4]	15424.5	11557.0	5071.0	222.0	3814.0	281.75	90.5	1686.25	1046.5	5518.0	2991.0	1961.0	5215.5	4965.0	4061.0
K01749	hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]	15843.56	13888.45	6977.92	4539.099999999999	9900.31	5052.07	9272.2	1850.8	8183.780000000001	6473.27	11010.27	1716.77	2931.6	6175.93	9494.77
K01750	E4.3.1.12, ocd; ornithine cyclodeaminase [EC:4.3.1.12]	1331.6	1692.6	767.4	3658.0	5414.77	66.8	8.8	83.57	792.8	89.47	562.3	279.8	41.6	60.0	1374.6699999999998
K01751	E4.3.1.15; diaminopropionate ammonia-lyase [EC:4.3.1.15]	15665.2	13036.9	7191.599999999999	2979.1	5166.0	3827.1	6299.4	1613.4	2377.4	6500.2	8938.0	1351.3	2875.0	5930.6	4810.6
K01752	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]	48501.83	57988.34	32550.03	30162.64	28497.469999999998	24586.75	42934.6	20500.12	13582.36	37874.97	35460.47	28793.99	43178.84	25922.3	35751.11
K01753	dsdA; D-serine dehydratase [EC:4.3.1.18]	253.4	1192.6	1655.2	2627.6	5394.8	3173.75	4199.0	1053.85	1673.7	471.0	4732.5	88.1	244.4	1055.6	3773.1
K01754	E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]	31483.63	22694.72	25258.45	15882.37	23246.78	20612.4	26345.2	15569.23	10164.54	31706.870000000003	25809.97	25576.53	30845.67	15753.2	29611.740000000005
K01755	argH, ASL; argininosuccinate lyase [EC:4.3.2.1]	32139.31	38686.95	23812.42	28382.1	17815.98	18995.32	20552.7	16387.63	12395.18	31580.1	22386.07	26167.27	36088.6	18784.43	24642.1
K01756	purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]	32224.31	38713.62	23951.75	24774.77	17947.31	19160.4	20576.7	16628.21	11924.01	31750.77	22397.07	26394.43	36154.27	18951.1	24843.44
K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]	35.87	141.4	72.0	1146.0	4686.07	21.8	1618.8	9.4	686.63	69.6	855.8	71.3	105.6	18.0	3548.3
K01759	GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]	19479.25	34454.52	8307.079999999998	19317.77	15723.71	6629.789999999999	53470.99999999999	5374.52	16059.25	8501.95	13544.4	3685.48	34034.37	10745.760000000002	13145.07
K01760	metC; cystathionine beta-lyase [EC:4.4.1.8]	14651.22	6520.85	18337.05	9898.6	13427.509999999998	17751.42	16323.0	13543.02	2055.12	25360.34	14894.5	23769.6	13835.4	9655.93	19775.44
K01761	E4.4.1.11; methionine-gamma-lyase [EC:4.4.1.11]	15358.0	11236.6	5228.2	273.5	4357.7	276.25	40.0	635.25	929.0	5273.6	3182.1	1348.5	5054.0	4886.0	6351.2
K01766	csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]	259.4	1422.6	1655.2	2600.6	5412.969999999999	3844.0	4202.0	1028.6	1666.7	438.6	4598.6	96.1	234.4	1109.6	4836.9
K01768	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	81.27000000000001	28.0	11.0	232.0	29.0	42.0	0.0	286.17	25.33	423.67	78.0	139.0	59.0	104.0	185.67
K01770	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	14666.41	25196.95	18383.42	23864.1	13698.309999999998	17155.07	9208.2	14753.88	10740.68	26124.77	19006.07	24055.27	30372.1	13787.43	20083.77
K01771	plc; 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]	1.42	139.25	0.0	4.0	0.67	0.42	0.0	3.08	1.42	0.0	0.0	14.5	0.0	1.33	613.0
K01772	hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	16606.97	12699.77	7009.03	3460.27	9625.97	4355.33	16345.0	1999.6	6026.86	6041.17	7941.5	1883.76	1977.07	6269.27	9796.44
K01775	alr; alanine racemase [EC:5.1.1.1]	32593.8	43010.47	25627.47	27661.37	23470.65	22346.57	25065.7	17756.14	15801.96	32279.77	30190.74	26546.7	37386.67	20016.03	28621.54
K01776	murI; glutamate racemase [EC:5.1.1.3]	32263.970000000005	38803.62	23949.08	24907.77	17946.31	19637.15	22938.7	16672.46	9807.35	31628.77	20766.3	26369.26	36144.27	19063.1	24865.64
K01777	prdF; proline racemase [EC:5.1.1.4]	18.0	17.1	340.2	0.0	416.8	6.0	0.0	0.0	11.0	14.6	147.1	22.0	16.0	2.0	0.0
K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]	30539.31	36935.45	23646.92	25012.1	17975.65	19420.72	22397.4	15442.0	12203.18	31812.27	22907.07	25474.77	36213.3	18783.43	24481.77
K01779	racD; aspartate racemase [EC:5.1.1.13]	14446.87	8086.1	17439.4	8951.5	13406.67	14001.3	12938.8	12569.4	1081.63	25348.8	11031.9	23693.3	14346.6	8559.0	18950.0
K01781	mdlA; mandelate racemase [EC:5.1.2.2]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01782	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	257.47	1192.6	1655.2	2592.6	5395.969999999999	3172.0	4199.0	1058.6	1686.0300000000002	65.0	4627.5	90.1	236.4	1055.6	4395.099999999999
K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	32465.31	41684.72	24299.95	25573.77	18372.11	21486.8	32757.9	16733.41	12504.01	33773.37	25369.17	26418.93	36943.47	19596.1	24843.44
K01784	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	49536.78	50238.54	29373.60000000001	29154.44	22191.52	19980.9	36084.2	19556.12	15183.26	37596.42	29260.14	28863.51	45248.94	26495.6	30740.31
K01785	galM, GALM; aldose 1-epimerase [EC:5.1.3.3]	32891.01	74426.72	25171.25	47485.87	18391.58	22303.1	27197.9	21659.07	16117.31	31799.6	29724.57	26710.23	60128.06999999999	32651.7	26158.37
K01787	RENBP; N-acylglucosamine 2-epimerase [EC:5.1.3.8]	476.17	22334.0	20.67	12859.0	36.0	15.0	819.0	2060.83	5515.33	34.25	3923.67	225.42	27224.0	6215.0	36.0
K01788	nanE; N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	2608.2	2208.4700000000003	2554.08	4529.27	1747.7399999999998	4884.929999999999	20265.9	2502.23	4424.73	1966.1	6506.900000000001	1164.46	1024.17	1425.27	2146.77
K01790	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	15185.96	25708.1	17222.55	26166.0	8509.25	13326.74	17006.7	16987.11	7161.07	26016.27	13645.4	24855.0	36729.2	17317.16	19094.37
K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	19812.14	33563.45	7642.75	33325.6	10412.64	5950.42	18472.0	5179.76	5547.25	6112.1	13098.2	2309.6	51310.4	15512.43	9348.1
K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	320.41	1445.6	1668.87	2611.6	5431.969999999999	3879.0	4202.0	1132.1	3904.690000000001	472.6	6164.27	128.76999999999998	273.4	1173.6	4884.9
K01795	algG; mannuronan 5-epimerase [EC:5.1.3.37]	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0
K01796	E5.1.99.4, AMACR, mcr; alpha-methylacyl-CoA racemase [EC:5.1.99.4]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
K01799	nicE, maiA; maleate isomerase [EC:5.2.1.1]	0.0	367.0	0.0	0.0	20.4	6.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	2334.2
K01800	maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]	2.07	0.0	0.0	0.0	0.67	0.0	0.0	0.0	20.33	5.0	28.9	0.0	0.0	0.0	657.2
K01801	nagL; maleylpyruvate isomerase [EC:5.2.1.4]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	16.5	12.4	0.0	0.0	0.0	0.0	77.5
K01802	E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]	27647.64	27361.0	32512.0	33670.0	15270.34	24646.5	86.0	27107.84	3868.66	49653.49	21318.9	47433.75	78522.0	23397.0	30848.54
K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]	33597.81	41540.12	24069.75	25035.27	17947.81	19160.9	21988.2	17704.54	11938.91	32292.77	23917.37	27070.93	37199.77	18980.1	24887.44
K01804	araA; L-arabinose isomerase [EC:5.3.1.4]	15108.32	26696.85	18349.2	21778.6	13465.3	17100.42	18176.0	15538.18	8165.52	25418.6	17044.4	23901.1	33334.4	15806.93	18749.9
K01805	xylA; xylose isomerase [EC:5.3.1.5]	1535.82	18792.7	2463.4	15153.6	6179.6	4837.0	16323.0	2296.6800000000003	5142.030000000001	588.45	7028.700000000001	461.85	16808.9	5347.1	3794.9
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	16126.14	6544.52	18575.53	12157.27	13430.97	17953.75	16403.5	15825.259999999998	2208.78	25702.250000000004	15224.5	24582.01	17607.07	12203.1	20240.77
K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	17180.489999999998	35973.3	7663.95	17835.1	10788.04	4501.49	22663.2	3077.96	9438.44	7033.969999999999	12065.6	2135.1	22566.1	10285.760000000002	6471.37
K01809	manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]	16599.74	31504.619999999995	18993.25	23868.27	13996.309999999998	19387.75	24811.5	15989.759999999998	7925.179999999999	27836.87	19877.17	24951.93	31058.07	14267.1	20351.24
K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	32250.91	39120.62	23953.75	25161.77	17947.31	19635.4	26188.7	16621.21	12022.01	32034.77	22815.07	26395.93	36930.27	19063.1	24843.44
K01811	xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	1638.7	19452.3	1976.4	46383.6	1104.2	3200.2	10079.2	5186.200000000001	5567.7	81.6	9127.5	703.8	13664.3	11905.6	1295.1
K01812	uxaC; glucuronate isomerase [EC:5.3.1.12]	1172.74	21706.35	2075.2	15551.1	5838.3	3980.72	17661.899999999998	3316.1600000000003	10589.35	1453.1	7605.400000000001	1144.27	17617.8	5183.43	4221.9
K01813	rhaA; L-rhamnose isomerase [EC:5.3.1.14]	1281.95	20920.2	2027.2	14270.6	1079.9	4036.6	21640.4	2372.98	1600.3	751.75	6599.6	367.05	16477.5	5346.1	917.1
K01814	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	16983.21	33345.95	7278.57	18261.1	10130.77	5087.32	20770.2	2781.8	11521.68	6622.77	12603.07	2124.27	22318.1	10258.43	9543.77
K01815	kduI; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase [EC:5.3.1.17]	1400.7	47323.2	1900.05	21513.6	1113.94	3576.6	17363.4	3189.9	4770.3	498.75	7382.6	448.55	21317.0	8899.6	1296.1
K01816	hyi, gip; hydroxypyruvate isomerase [EC:5.3.1.22]	561.67	2243.8	3238.4	6524.2	6138.280000000001	6322.2	8675.199999999999	2071.8	3406.93	83.0	8901.3	150.4	11398.2	2093.2000000000003	8425.4
K01817	trpF; phosphoribosylanthranilate isomerase [EC:5.3.1.24]	16033.91	23430.59	16814.33	19822.34	8165.67	13363.48	16583.2	14027.19	9169.14	26050.57	14424.37	24364.99	33004.04	12836.17	17195.21
K01818	fucI; L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	308.62	1489.2	1611.72	1466.6	920.94	4218.599999999999	7888.4	2105.65	7505.73	868.75	6782.47	88.72	4088.5	3540.1	1324.6
K01819	E5.3.1.26, lacA, lacB; galactose-6-phosphate isomerase [EC:5.3.1.26]	187.84	291.18	509.32	70.68	154.0	198.16	61.0	2269.48	36.16	352.0	0.0	1932.64	457.68	143.34	2712.68
K01820	rhaA; L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]	23.0	0.0	0.0	10.0	18.0	9.0	0.0	102.0	0.0	0.0	0.0	0.0	29.0	10.0	0.0
K01821	praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]	17831.3	12827.27	7214.53	3780.27	9644.97	5183.33	16372.5	2936.93	2846.53	5703.0	8133.5	2389.76	2503.57	6209.27	10007.77
K01822	E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
K01823	idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	2568.7	1128.87	2267.53	2184.27	1209.9	4904.53	16353.7	2502.03	1279.23	400.0	4607.8	1032.96	971.97	1335.27	1596.77
K01825	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	253.4	1192.6	1655.2	2592.6	5395.969999999999	3172.0	4199.0	1022.6	1667.7	58.0	4627.5	90.1	234.4	1055.6	4384.099999999999
K01826	hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]	253.4	1192.6	1655.2	2592.6	5395.469999999999	3172.0	4199.0	1058.6	1667.7	72.0	4627.5	75.6	234.4	875.6	4384.099999999999
K01829	E5.3.4.1; protein disulfide-isomerase [EC:5.3.4.1]	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3284.33	0.0	0.0	0.0	0.0	0.0	11.0
K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	44473.19	33911.27	51552.2	39407.27	29167.300000000003	44666.08	31092.5	40987.600000000006	8332.69	75805.27	37918.27	71850.93000000001	56701.07	31001.77	48918.240000000005
K01835	pgm; phosphoglucomutase [EC:5.4.2.2]	31951.56	41078.47	24236.45	24126.77	18247.11	18451.82	22183.7	16608.62	12016.6	32120.8	22644.27	26278.93	36227.27	18847.43	24129.57
K01838	pgmB; beta-phosphoglucomutase [EC:5.4.2.6]	2457.2	1472.4	2813.6	2426.6	1751.0	4832.2	20560.2	1355.1999999999998	1644.4	431.2	4537.0	183.8	1449.8	1129.6	829.6
K01839	deoB; phosphopentomutase [EC:5.4.2.7]	17956.72	17955.120000000003	7677.58	3807.77	10285.64	6047.65	20552.7	2985.71	6492.450000000001	6466.200000000001	9709.7	2525.76	6431.77	6339.6	8888.57
K01840	manB; phosphomannomutase [EC:5.4.2.8]	677.95	18828.2	1611.2	15363.6	811.47	3879.2	4203.2	2188.4500000000003	4354.8	430.07	5573.5	414.3	16124.3	5433.1	4177.67
